cDC1,cDC2,pDC,Eos,Mon,Neu,B
33,55,28,31,44,33,250
4,0,1,0,0,0,268
0,0,0,0,0,0,2579
0,0,0,0,0,0,1337
6,3,1,21,76,31,14135
27,13,8,6,45,71,0
0,0,0,0,0,0,916
20,13,12,1,7,26,26
5,6,2,2,0,0,0
14,14,2,3,5,23,0
0,0,0,0,0,0,11382
9,1,0,0,0,0,0
5,17,6,4,1,1,56
7,1,1,2,0,0,0
14,2,5,15,69,41,171
37,35,24,38,117,169,16
0,0,0,0,0,0,2577
0,0,0,0,0,0,13895
44,71,41,77,133,124,4626
0,0,0,0,2,4,0
16,5,16,24,31,41,314
9,24,9,20,6,54,231
17,31,3,4,6,16,0
0,1,1,8,22,19,3816
88,79,72,95,287,277,433
0,0,0,0,0,0,8060
48,76,44,31,77,37,8403
0,0,0,0,0,0,701
19,63,13,5,6,4,0
2,1,0,0,26,7,0
7,0,7,21,117,34,11297
60,32,12,17,14,20,0
2,0,8,5,25,2,0
9,12,22,23,24,36,47
42,70,44,97,250,295,5647
0,0,0,0,0,0,2254
24,38,13,34,84,262,1253
0,0,0,0,0,0,14350
276,368,350,364,732,504,16269
150,151,111,224,651,341,4833
2,0,1,0,0,0,0
13,0,10,29,7,17,0
37,62,33,93,132,125,1186
0,0,0,0,0,0,7494
0,0,0,0,0,0,5051
210,262,148,173,362,674,3350
47,52,23,16,9,31,0
19,7,6,1,2,2,0
0,0,0,0,0,0,230
24,30,34,22,12,50,501
5,5,2,5,1,16,3
0,0,0,0,0,0,679
39,46,15,9,9,9,0
14,0,11,13,9,42,0
0,0,0,0,0,0,706
22,12,7,18,42,96,0
0,0,0,0,0,0,19
22,33,35,23,29,46,151
96,114,90,136,265,217,1481
0,0,1,0,0,0,0
11,37,5,19,78,28,2185
0,0,0,0,0,0,2593
0,0,0,0,24,1,5693
0,0,0,0,0,0,1295
11,9,17,32,137,63,8696
14,7,5,13,64,23,105
40,11,9,29,106,181,75
0,0,0,3,42,57,0
7,12,4,5,8,29,635
7,5,8,17,117,237,0
2,4,0,0,0,0,2126
13,5,4,13,15,13,9600
60,62,30,90,160,344,221
0,3,0,5,27,28,0
39,143,39,55,176,120,6266
44,39,27,71,104,169,9855
11,12,9,29,84,39,12323
15,6,1,8,6,12,0
103,73,74,76,146,148,809
0,0,0,0,0,0,6850
30,24,25,72,256,165,117
6,9,1,1,1,21,0
0,0,0,0,0,0,9986
0,0,0,0,0,0,199
6,0,1,3,3,1,0
38,30,16,64,118,150,15
4,8,2,6,5,35,2
50,23,19,47,167,258,145
1,3,1,4,20,28,0
13,32,30,17,47,39,3471
0,0,0,0,0,0,4205
26,24,19,40,30,92,2
0,0,0,0,0,0,7485
0,0,0,0,0,0,1588
71,85,38,72,180,135,8597
0,0,0,0,0,0,1165
0,0,0,0,0,0,11321
1,0,0,1,6,14,2
0,0,0,0,0,0,8044
35,42,28,71,84,158,1
15,13,21,23,47,21,10121
19,15,13,6,54,34,26
11,8,3,0,1,10,0
4,3,5,0,0,0,0
0,0,0,0,0,0,2145
0,0,0,0,0,0,4
0,0,0,0,0,0,3566
94,113,49,71,153,174,518
15,16,7,29,25,33,192
0,0,0,0,0,0,9776
29,21,12,43,113,176,0
51,36,19,15,28,58,0
4,7,4,6,51,169,0
1,0,4,1,10,4,127
36,52,45,63,171,116,1997
28,11,30,59,89,50,1
0,0,0,0,0,0,7575
56,127,57,88,299,153,9882
27,44,23,42,93,81,1745
41,41,38,30,122,59,7205
16,14,9,3,4,22,15
0,3,0,0,0,0,6871
14,1,1,5,7,8,50
31,56,13,27,123,50,3768
6,3,1,6,72,42,3262
25,33,8,35,56,35,5406
0,0,0,1,1,25,0
0,0,0,1,1,0,4362
38,9,16,67,180,139,95
16,13,1,0,0,0,0
5,18,14,2,2,2,0
0,0,0,0,0,0,1813
0,0,0,0,0,0,299
45,52,28,8,5,7,0
0,11,2,1,0,4,1
2,14,4,18,79,40,8224
86,77,55,149,334,324,3656
