"","cDC1","cDC2","pDC","Eos","Mon","Neu","B","T","MouseID","Group","Mouse","HSPC","Day","barcode","n.cDC1","n.cDC2","n.pDC","n.Eos","n.Mon","n.Neu","n.B","n.T","biomass","filter","p.cDC1","p.cDC2","p.pDC","p.Eos","p.Mon","p.Neu","p.B","p.T","bin","bin_bias","umap1","umap2","fate","umap1d","shannon","simpson","group","norm.biomass"
"397",732.691570665284,0,0,0,0,0,0,0,"ProDC_Day9_498","ProDC_Day9",498,"ProDC","Day9",2466,0.560615145298375,0,0,0,0,0,0,0,0.560615145298375,TRUE,1,0,0,0,0,0,0,0,"1-0-0-0-0-0-0-0",1,-18.8501184259172,11.7067591440996,"cDC1",65.8103155578146,0,0,"True",0.560615145298375
"398",766.508104695989,0,0,0,0,0,0,0,"ProDC_Day9_498","ProDC_Day9",498,"ProDC","Day9",2474,0.586489690465992,0,0,0,0,0,0,0,0.586489690465992,TRUE,1,0,0,0,0,0,0,0,"1-0-0-0-0-0-0-0",1,-17.6121700783085,11.7170648523557,"cDC1",66.1811415501134,0,0,"True",0.586489690465992
"399",8882.47627206529,0,0,0,0,0,0,0,"ProDC_Day9_498","ProDC_Day9",498,"ProDC","Day9",2479,6.79638053069414,0,0,0,0,0,0,0,6.79638053069414,TRUE,1,0,0,0,0,0,0,0,"1-0-0-0-0-0-0-0",1,-19.1874990809525,12.3176638518615,"cDC1",64.2324116708036,0,0,"True",6.79638053069414
"400",0,0,0,4195.96372731939,0,878.869241995436,0,0,"ProDC_Day9_498","ProDC_Day9",498,"ProDC","Day9",2481,0,0,0,3.24104032552531,0,3.97538247590366,0,0,10.4574631269543,TRUE,0,0,0,0.449120071634873,0,0.550879928365127,0,0,"0-0-0-0-0-1-0-1",2,-17.3316942660422,-0.00374509429055458,"Eos.Neu",-9.62519393640643,0.460895827747464,0.286379865770489,"True",5.22873156347715
"401",2310.7964920982,0,0,0,0,0,0,0,"ProDC_Day9_498","ProDC_Day9",498,"ProDC","Day9",2482,1.76809391978718,0,0,0,0,0,0,0,1.76809391978718,TRUE,1,0,0,0,0,0,0,0,"1-0-0-0-0-0-0-0",1,-17.3268802944067,9.69568955597957,"cDC1",65.7272844331313,0,0,"True",1.76809391978718
"402",0,0,2467.58133611208,0,0,0,0,0,"ProDC_Day9_498","ProDC_Day9",498,"ProDC","Day9",2506,0,0,0.50724206009031,0,0,0,0,0,0.50724206009031,TRUE,0,0,1,0,0,0,0,0,"0-0-1-0-0-0-0-0",1,0.313920455304179,16.8500758177784,"pDC",32.7313066369384,0,0,"True",0.50724206009031
"403",8206.14559145118,0,0,0,0,0,0,0,"ProDC_Day9_498","ProDC_Day9",498,"ProDC","Day9",2528,6.2788896273418,0,0,0,0,0,0,0,6.2788896273418,TRUE,1,0,0,0,0,0,0,0,"1-0-0-0-0-0-0-0",1,-18.4977269712855,13.3604741923752,"cDC1",66.0278404185277,0,0,"True",6.2788896273418
"404",0,0,21.7089267106634,0,0,0,0,0,"ProDC_Day9_498","ProDC_Day9",498,"ProDC","Day9",2542,0,0,0.00446254011809656,0,0,0,0,0,0.00446254011809656,TRUE,0,0,1,0,0,0,0,0,"0-0-1-0-0-0-0-0",1,1.8697865991881,17.7815491971002,"pDC",33.0698989032154,0,0,"True",0.00446254011809656
"405",19602.3175597989,14971.3817822768,4877.27220099572,0,841.929880534581,0,0,0,"ProDC_Day9_498","ProDC_Day9",498,"ProDC","Day9",2548,14.9986113488288,2.23747300736127,1.00258401319903,0,1.78674782737779,0,0,0,20.0254161967669,TRUE,0.748978757867232,0.111731660674424,0.0500655768323504,0,0.0892240046259941,0,0,0,"1-1-1-0-0-0-1-0",4,-8.98213809856078,5.04695733181926,"cDC1.cDC2.pDC.Mon",4.77785941538557,1.05482042135615,0.61017383656104,"True",5.00635404919173
"406",3798.72398944924,0,0,0,0,0,0,0,"ProDC_Day9_498","ProDC_Day9",498,"ProDC","Day9",2556,2.90657390716234,0,0,0,0,0,0,0,2.90657390716234,TRUE,1,0,0,0,0,0,0,0,"1-0-0-0-0-0-0-0",1,-17.498160431051,11.33940782889,"cDC1",65.4613338540094,0,0,"True",2.90657390716234
"407",0,0,0,0,425.396150164841,0,0,0,"ProDC_Day9_498","ProDC_Day9",498,"ProDC","Day9",2559,0,0,0,0,0.902777849622461,0,0,0,0.902777849622461,TRUE,0,0,0,0,1,0,0,0,"0-0-0-0-0-0-1-0",1,20.9467120330583,14.3958952003085,"Mon",46.2901605562762,0,0,"True",0.902777849622461
"408",1476.6553193408,0,0,0,0,0,0,0,"ProDC_Day9_498","ProDC_Day9",498,"ProDC","Day9",2580,1.12985513898595,0,0,0,0,0,0,0,1.12985513898595,TRUE,1,0,0,0,0,0,0,0,"1-0-0-0-0-0-0-0",1,-17.6052697571806,12.7492695305771,"cDC1",64.6355300875039,0,0,"True",1.12985513898595
"409",0,0,0,3438.24600568696,15367.4359247049,53804.536255372,0,0,"ProDC_Day9_498","ProDC_Day9",498,"ProDC","Day9",2602,0,0,0,2.65576508227511,32.6128498176114,243.3736446028,0,0,281.298024584961,TRUE,0,0,0,0.00953109225791901,0.117042008903524,0.873426898838557,0,0,"0-0-0-0-0-1-1-1",3,7.92540113637404,2.96950735594815,"Eos.MoNeu",-6.02082073806926,0.695196098865821,0.403876627802678,"True",93.766008194987
"410",0,0,0,0,0,828.500414250207,0,0,"ProDC_Day9_515","ProDC_Day9",515,"ProDC","Day9",5,0,0,0,0,0,5.81724111516156,0,0,5.81724111516156,TRUE,0,0,0,0,0,1,0,0,"0-0-0-0-0-0-0-1",1,17.6529064929424,1.03192714540194,"Neu",38.1008273724899,0,0,"True",5.81724111516156
"411",1790.26878556013,0,0,0,0,0,0,0,"ProDC_Day9_515","ProDC_Day9",515,"ProDC","Day9",32,0.518902905238374,0,0,0,0,0,0,0,0.518902905238374,TRUE,1,0,0,0,0,0,0,0,"1-0-0-0-0-0-0-0",1,-17.4631068604183,9.86076319688239,"cDC1",65.5781976887088,0,0,"True",0.518902905238374
"412",1716.69609574259,0,0,0,0,0,0,0,"ProDC_Day9_515","ProDC_Day9",515,"ProDC","Day9",39,0.49757812831077,0,0,0,0,0,0,0,0.49757812831077,TRUE,1,0,0,0,0,0,0,0,"1-0-0-0-0-0-0-0",1,-17.3759673606954,10.9811514375972,"cDC1",65.3247524159974,0,0,"True",0.49757812831077
"413",3016.48028251913,0,0,0,0,0,0,0,"ProDC_Day9_515","ProDC_Day9",515,"ProDC","Day9",40,0.874315854031784,0,0,0,0,0,0,0,0.874315854031784,TRUE,1,0,0,0,0,0,0,0,"1-0-0-0-0-0-0-0",1,-18.2240201219073,12.8571445483314,"cDC1",66.1067718892887,0,0,"True",0.874315854031784
"414",318.814989209339,0,0,912.66067429518,0,361.966200400576,0,0,"ProDC_Day9_515","ProDC_Day9",515,"ProDC","Day9",42,0.0924073666862861,0,0,0.503690514199159,0,2.54151310856573,0,0,3.64130150365033,TRUE,0.0294515053003591,0,0,0.160533130427129,0,0.810015364272512,0,0,"1-0-0-0-0-1-0-1",3,-15.6364934423744,0.208412587033919,"cDC1.Eos.Neu",-9.502625031788,0.977802270639777,0.580311885458795,"True",1.21376716788344
"415",4316.26446929566,0,0,0,2041.09669695602,7528.89696833198,0,0,"ProDC_Day9_515","ProDC_Day9",515,"ProDC","Day9",47,1.25105357975279,0,0,0,4.29463968221695,52.8634726581672,0,0,58.4091659201369,TRUE,0.0214187886446344,0,0,0,0.0735268106394299,0.905054400715936,0,0,"1-0-0-0-0-0-1-1",3,7.95001162762524,0.363093266189012,"cDC1.MoNeu",15.8927264828324,0.976940146746316,0.587816933988294,"True",19.469721973379
