cDC1,cDC2,pDC,Eos,Mon,Neu,B
0,0,0,2,0,0,0
1,0,4,5,5,1,0
3,1,0,0,0,0,0
0,0,0,0,0,0,1758
0,0,0,0,0,0,1516
1,0,0,4,0,0,0
0,0,0,0,0,0,324
0,0,0,0,0,0,347
39,1,2,1,0,0,0
0,0,3,4,2,10,0
0,0,4,0,0,0,0
0,0,0,0,0,0,1422
10,2,19,1,15,1,630
0,0,0,0,1,17,1
0,0,0,1,0,0,0
0,0,0,0,0,0,452
0,0,0,0,0,0,61
7,2,6,20,3,13,57
0,0,0,0,0,7,0
0,0,3,14,44,49,6
0,0,0,1,0,17,0
0,0,0,0,0,0,314
0,0,0,0,0,0,387
0,0,0,0,0,0,276
0,0,0,0,0,0,1257
1,0,0,18,7,43,0
6,0,1,6,3,37,0
0,0,0,0,0,0,29
0,0,0,0,0,0,968
44,4,2,4,4,46,0
5,5,2,0,2,1,50
0,0,0,0,2,21,0
0,0,0,0,0,0,2526
0,0,0,0,0,0,1206
0,0,0,0,0,0,1118
0,0,0,0,0,0,153
0,0,0,0,0,0,85
0,0,0,0,0,0,1983
20,1,1,1,1,33,0
0,0,0,0,0,0,1152
11,14,0,17,46,181,23
6,6,1,0,0,0,0
0,0,0,0,0,0,733
21,1,1,5,10,53,6
0,0,0,0,0,0,1424
5,1,1,3,1,5,0
0,0,0,0,0,0,2940
0,0,0,0,0,0,2071
0,0,0,6,0,0,0
0,0,0,0,0,0,499
1,2,0,2,0,1,0
2,0,0,3,71,21,0
5,0,0,0,0,0,0
0,0,0,0,0,0,906
0,0,0,0,0,0,56
0,0,0,0,0,0,1588
30,5,3,2,1,0,0
0,0,0,0,0,0,729
5,0,0,12,112,210,0
1,0,0,4,0,0,0
0,0,0,1,17,6,0
17,0,0,0,0,0,0
3,1,0,0,0,0,0
8,3,0,6,18,56,0
6,21,3,0,0,0,0
13,1,5,0,0,0,0
0,0,0,0,0,0,961
0,0,0,0,0,0,2019
0,0,0,0,7,3,1233
0,2,0,2,0,1,0
4,3,13,3,0,1,0
0,0,0,0,0,0,2645
0,0,0,0,0,0,1447
0,0,0,0,0,0,300
0,0,0,0,0,0,356
0,0,0,0,0,0,421
0,0,0,0,0,0,2327
0,0,0,0,0,0,591
2,0,0,0,0,0,0
2,0,2,4,6,16,0
0,0,0,0,0,0,667
0,0,0,0,0,0,3994
0,0,0,0,0,0,390
0,0,0,0,0,0,2035
2,0,0,2,19,108,0
5,0,0,1,4,31,0
0,0,0,0,0,0,508
0,0,0,0,0,0,816
0,0,0,0,0,0,739
0,0,0,0,0,0,555
3,0,0,0,0,0,0
0,1,2,0,0,0,0
12,1,1,6,1,0,0
0,0,0,0,0,0,762
0,0,0,0,0,0,324
0,0,0,0,0,0,6
0,2,9,0,0,0,127
1,3,0,0,0,0,0
0,0,0,4,0,2,0
0,0,1,0,22,4,862
0,0,0,0,0,0,196
0,0,0,0,0,0,293
0,0,0,0,0,0,103
2,0,0,5,26,56,0
0,0,0,0,3,6,0
1,0,4,7,10,2,0
0,0,0,0,0,0,131
0,0,0,0,0,0,223
0,1,4,2,17,5,0
0,0,0,0,0,0,429
0,0,0,0,0,0,473
0,0,0,0,0,0,1674
0,8,0,0,2,0,117
0,0,0,0,0,0,1498
0,0,0,0,14,0,2412
0,0,0,0,0,0,9830
0,0,0,0,0,0,2364
0,0,0,0,0,0,170
2,0,0,4,5,0,0
9,2,0,0,6,35,0
16,11,6,25,26,94,6
0,0,0,0,0,0,3592
0,0,0,6,15,1,0
4,1,12,0,0,8,0
0,0,0,0,4,45,0
0,0,0,0,0,0,46
10,4,0,7,35,65,0
0,0,0,0,0,0,31
0,0,0,0,0,0,534
0,0,0,0,0,0,316
0,0,0,0,0,0,579
0,0,0,4,76,25,0
0,0,0,4,12,99,0
6,0,0,0,0,0,0
0,0,0,0,0,0,1703
0,2,1,0,0,0,518
0,0,0,0,0,0,387
12,6,4,5,18,230,0
0,0,1,2,26,17,0
0,1,1,0,4,70,0
0,0,0,0,0,0,3651
2,0,5,0,2,1,0
3,0,0,1,0,0,0
7,3,1,6,44,51,0
0,0,0,0,0,0,327
0,0,0,0,0,0,4347
0,0,0,0,0,0,497
0,0,0,0,0,0,75
4,0,0,12,3,21,0
0,0,0,0,0,0,1985
0,0,0,0,0,0,1578
0,0,0,0,0,0,200
0,0,0,0,0,0,48
0,0,0,0,0,0,195
0,0,0,0,0,0,1490
0,0,0,0,0,0,2039
0,5,3,0,0,0,0
3,1,10,1,1,0,70
0,0,0,0,0,0,544
0,0,0,0,0,0,754
4,3,0,3,2,24,0
0,0,0,1,26,55,0
0,0,0,0,0,0,466
0,0,1,1,3,1,442
0,0,1,1,39,18,0
0,0,4,0,4,0,697
0,0,0,0,2,1,0
2,1,3,8,55,81,0
5,7,0,1,4,114,0
5,0,1,8,0,0,0
4,0,0,1,0,0,932
0,0,0,0,0,0,1090
0,0,0,0,0,0,990
0,0,0,0,0,0,2121
0,0,0,0,0,0,8
0,0,0,0,0,0,3243
1,0,1,0,1,23,0
0,0,0,0,0,0,477
0,1,0,0,0,0,0
