cDC1,cDC2,pDC,Eos,Mon,Neu,B
0,0,0,2,0,0,0
0,0,1,0,0,0,0
0,0,0,0,0,0,8524
0,0,0,0,0,0,349
0,0,0,0,2,3,148
0,0,0,0,0,0,806
30,48,16,39,49,58,17
0,0,0,0,0,0,3837
12,26,10,2,14,4,0
7,2,0,17,5,11,0
15,43,8,14,34,46,382
7,7,4,23,44,39,2
0,0,0,0,0,0,1507
0,2,0,0,0,0,518
18,48,4,83,146,84,709
0,0,0,0,0,0,2006
0,0,0,0,0,0,3126
8,2,1,2,8,6,76
0,0,0,0,0,0,593
0,0,0,0,0,0,1892
3,1,0,85,36,11,0
15,45,22,25,55,41,7087
6,1,7,4,6,28,4
0,0,0,0,0,0,1374
3,4,0,18,19,13,0
0,1,3,0,3,8,489
7,9,9,13,28,39,4
8,49,35,27,78,56,6086
0,0,0,0,0,0,3457
2,12,2,8,21,13,0
19,25,10,27,88,69,2663
1,1,2,11,1,8,540
21,24,31,32,21,96,49
0,0,0,0,0,0,2504
0,0,0,0,0,0,1831
10,9,0,42,23,17,352
1,2,6,26,17,14,27
1,7,2,6,7,18,0
0,1,0,3,5,9,5
18,46,31,36,73,54,7
4,0,3,1,0,2,0
0,78,2,0,3,1,0
8,7,3,10,29,30,0
32,19,9,5,13,44,878
0,0,0,0,0,0,614
2,7,0,3,6,4,0
5,3,2,0,1,3,364
7,0,0,0,1,1,0
9,2,9,6,12,11,188
0,1,2,1,5,1,3510
2,3,5,31,38,37,0
5,0,0,0,0,0,695
0,0,0,0,0,0,755
5,7,5,0,10,4,404
20,28,2,29,66,118,0
0,7,1,0,1,1,496
0,0,0,0,0,0,1606
0,10,4,17,4,1,0
100,3,11,45,117,274,0
2,0,0,0,0,1,0
1,1,0,1,7,4,1868
0,0,0,0,0,0,1489
2,0,10,0,4,10,19
0,0,0,2,1,2,692
0,1,6,0,1,1,3745
0,0,0,0,0,0,4316
8,41,13,18,46,37,81
0,0,0,0,6,0,25
1,12,5,0,7,10,0
8,28,41,6,25,24,3694
5,3,2,6,1,3,177
3,9,10,0,11,4,842
0,0,0,0,0,0,269
0,2,2,0,0,3,0
4,3,6,4,33,15,1
0,0,0,0,0,0,175
0,0,0,0,0,0,133
10,42,5,58,88,36,0
0,0,0,0,0,0,97
0,0,0,0,0,0,1631
61,60,55,39,78,47,1940
73,157,77,86,154,147,1943
0,0,0,0,0,0,462
16,1,0,1,13,26,0
0,11,3,13,42,7,4
21,27,23,17,18,23,2162
1,21,4,51,6,8,0
2,0,0,0,0,0,0
0,0,0,0,0,0,3191
0,0,0,0,0,0,4016
0,0,0,0,0,0,51
4,2,14,3,1,10,57
0,106,4,6,10,8,1
0,0,0,0,0,0,485
0,0,0,0,0,0,278
0,0,0,0,0,0,252
0,0,0,0,0,0,1062
118,117,29,88,256,550,0
0,0,0,0,0,0,3242
45,2,9,17,68,148,0
11,10,4,22,18,61,0
0,1,0,3,7,0,0
0,0,0,0,0,0,970
2,3,1,0,3,19,0
0,0,0,0,0,0,2728
12,0,3,3,8,21,0
17,13,24,50,23,65,6
0,0,1,0,0,4,1681
13,13,18,40,34,60,601
2,0,0,0,1,2,0
7,0,0,0,21,1,0
0,0,0,0,0,0,1018
1,5,0,0,0,13,0
1,15,1,8,10,9,0
0,0,0,0,0,0,1428
2,24,9,27,17,21,35
0,0,5,0,0,1,0
0,0,0,3,5,2,3
