cDC1_start,cDC2_start,pDC_start,Eos_start,Mon_start,Neu_start,B_start,cDC1_end,cDC2_end,pDC_end,Eos_end,Mon_end,Neu_end,B_end,w,t0,t1
0.21656050955414013,0.21656050955414013,0.089171974522293,0.089171974522293,0.06369426751592357,0.32484076433121023,0.0,0.6,0.08,0.04,0.28,0.0,0.0,0.0,157.0,0,1
0.6,0.08,0.04,0.28,0.0,0.0,0.0,0.6,0.08,0.04,0.28,0.0,0.0,0.0,25.0,1,2
0.6,0.08,0.04,0.28,0.0,0.0,0.0,0.75,0.1,0.05,0.1,0.0,0.0,0.0,25.0,2,3
0.75,0.1,0.05,0.1,0.0,0.0,0.0,0.875,0.0625,0.0625,0.0,0.0,0.0,0.0,20.0,3,4
0.875,0.0625,0.0625,0.0,0.0,0.0,0.0,0.9333333333333333,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,16.0,4,5
0.9333333333333333,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.9333333333333333,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,15.0,5,6
0.9333333333333333,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.9,0.0,0.1,0.0,0.0,0.0,0.0,15.0,6,7
0.9,0.0,0.1,0.0,0.0,0.0,0.0,0.9,0.0,0.1,0.0,0.0,0.0,0.0,10.0,7,8
0.9,0.0,0.1,0.0,0.0,0.0,0.0,0.9,0.0,0.1,0.0,0.0,0.0,0.0,10.0,8,9
0.9,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,9,10
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10,11
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11,12
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12,13
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13,14
