cDC1_start,cDC2_start,pDC_start,Eos_start,Mon_start,Neu_start,B_start,cDC1_end,cDC2_end,pDC_end,Eos_end,Mon_end,Neu_end,B_end,w,t0,t1
0.010638297872340425,0.01309328968903437,0.006546644844517185,0.0220949263502455,0.019639934533551555,0.04746317512274959,0.8805237315875614,0.010638297872340425,0.01309328968903437,0.006546644844517185,0.0220949263502455,0.019639934533551555,0.04746317512274959,0.8805237315875614,1222.0,0,1
0.010638297872340425,0.01309328968903437,0.006546644844517185,0.0220949263502455,0.019639934533551555,0.04746317512274959,0.8805237315875614,0.010638297872340425,0.01309328968903437,0.006546644844517185,0.0220949263502455,0.019639934533551555,0.04746317512274959,0.8805237315875614,1222.0,1,2
0.010638297872340425,0.01309328968903437,0.006546644844517185,0.0220949263502455,0.019639934533551555,0.04746317512274959,0.8805237315875614,0.06211180124223602,0.043478260869565216,0.037267080745341616,0.14285714285714285,0.14285714285714285,0.22360248447204967,0.34782608695652173,1222.0,2,3
0.06211180124223602,0.043478260869565216,0.037267080745341616,0.14285714285714285,0.14285714285714285,0.22360248447204967,0.34782608695652173,0.06211180124223602,0.043478260869565216,0.037267080745341616,0.14285714285714285,0.14285714285714285,0.22360248447204967,0.34782608695652173,161.0,3,4
0.06211180124223602,0.043478260869565216,0.037267080745341616,0.14285714285714285,0.14285714285714285,0.22360248447204967,0.34782608695652173,0.06211180124223602,0.043478260869565216,0.037267080745341616,0.14285714285714285,0.14285714285714285,0.22360248447204967,0.34782608695652173,161.0,4,5
0.06211180124223602,0.043478260869565216,0.037267080745341616,0.14285714285714285,0.14285714285714285,0.22360248447204967,0.34782608695652173,0.06211180124223602,0.043478260869565216,0.037267080745341616,0.14285714285714285,0.14285714285714285,0.22360248447204967,0.34782608695652173,161.0,5,6
0.06211180124223602,0.043478260869565216,0.037267080745341616,0.14285714285714285,0.14285714285714285,0.22360248447204967,0.34782608695652173,0.06211180124223602,0.043478260869565216,0.037267080745341616,0.14285714285714285,0.14285714285714285,0.22360248447204967,0.34782608695652173,161.0,6,7
0.06211180124223602,0.043478260869565216,0.037267080745341616,0.14285714285714285,0.14285714285714285,0.22360248447204967,0.34782608695652173,0.0,0.041666666666666664,0.008333333333333333,0.09166666666666666,0.15833333333333333,0.23333333333333334,0.4666666666666667,161.0,7,8
0.0,0.041666666666666664,0.008333333333333333,0.09166666666666666,0.15833333333333333,0.23333333333333334,0.4666666666666667,0.0,0.041666666666666664,0.008333333333333333,0.09166666666666666,0.15833333333333333,0.23333333333333334,0.4666666666666667,120.0,8,9
0.0,0.041666666666666664,0.008333333333333333,0.09166666666666666,0.15833333333333333,0.23333333333333334,0.4666666666666667,0.0,0.041666666666666664,0.008333333333333333,0.09166666666666666,0.15833333333333333,0.23333333333333334,0.4666666666666667,120.0,9,10
0.0,0.041666666666666664,0.008333333333333333,0.09166666666666666,0.15833333333333333,0.23333333333333334,0.4666666666666667,0.0,0.04201680672268907,0.008403361344537815,0.09243697478991596,0.15126050420168066,0.23529411764705882,0.47058823529411764,120.0,10,11
0.0,0.04201680672268907,0.008403361344537815,0.09243697478991596,0.15126050420168066,0.23529411764705882,0.47058823529411764,0.0,0.0,0.0,0.3076923076923077,0.15384615384615385,0.0,0.5384615384615385,119.0,11,12
0.0,0.0,0.0,0.3076923076923077,0.15384615384615385,0.0,0.5384615384615385,0.0,0.0,0.0,1.0,0.0,0.0,0.0,26.0,12,13
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,13,14
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,14,15
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,15,16
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,16,17
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,17,18
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,18,19
