cDC1,cDC2,pDC,Eos,Mon,Neu,B
45,34,18,73,46,121,5492
3,13,1,4,1,0,0
1,14,1,0,1,1,0
20,43,7,41,12,42,7
12,3,0,0,0,0,0
5,2,0,0,4,1,0
5,15,2,5,4,11,0
0,0,0,0,0,0,1894
17,80,0,7,0,0,0
0,0,1,0,0,0,3502
0,0,0,0,0,0,10640
10,3,0,3,9,5,5285
0,0,0,0,0,0,4063
23,33,38,69,69,108,1036
0,4,7,1,12,4,0
0,0,0,0,0,0,4
18,47,0,7,4,0,0
4,10,9,40,48,96,0
2,2,0,9,64,82,76
3,10,4,1,2,1,108
0,4,0,0,8,3,3700
0,0,1,0,10,11,0
2,1,0,3,0,1,0
0,4,5,0,0,0,0
25,14,0,15,14,14,0
0,0,0,0,0,0,394
6,34,1,8,36,12,6967
0,0,0,0,0,0,431
4,3,2,20,49,34,1712
0,1,3,1,10,0,5
2,2,4,16,33,13,71
6,14,5,11,53,66,484
9,1,0,13,2,1,0
23,8,0,29,6,13,0
34,8,3,3,4,15,607
11,15,3,72,83,254,0
0,0,0,0,0,0,3984
15,14,6,31,32,24,1665
1,12,3,1,0,0,0
4,9,2,19,27,28,79
0,0,0,0,0,0,5163
25,27,0,5,1,1,0
0,0,0,0,0,0,616
0,0,0,3,2,10,0
8,3,3,3,22,5,3312
23,17,1,6,3,13,121
10,5,0,10,4,2,0
15,12,2,13,13,11,0
1,2,3,2,0,16,0
19,31,4,63,102,263,0
20,31,0,6,13,3,7
0,0,0,0,0,0,2233
0,0,0,0,0,0,4058
0,0,2,0,0,0,0
0,0,0,0,0,0,2742
11,20,19,69,118,286,0
0,0,0,0,0,0,1437
22,57,4,102,69,131,0
0,0,0,0,0,0,592
0,0,0,0,0,0,2914
0,0,1,3,0,0,2
1,1,0,6,6,9,1
2,1,0,17,10,2,3054
1,0,0,0,0,0,15
4,1,7,4,1,13,1
0,0,0,0,0,0,4451
33,8,0,0,2,0,0
0,0,0,0,0,0,1851
2,6,6,8,27,76,0
1,3,0,6,1,0,0
9,15,0,4,11,1,1820
1,4,0,0,0,2,0
25,11,28,39,39,129,23
2,1,0,0,0,0,0
0,0,0,0,0,0,3896
21,10,0,3,0,7,0
10,6,0,16,13,50,0
24,6,6,21,21,34,0
3,4,28,35,69,105,0
0,0,0,0,0,0,6155
0,0,0,0,0,0,14886
38,53,22,48,44,99,411
0,0,0,0,0,0,32
0,0,0,0,0,0,11374
13,18,1,2,0,1,0
0,0,0,0,0,0,1407
0,1,2,1,0,1,3696
4,3,5,0,0,0,0
13,14,0,11,9,45,0
3,8,0,12,42,11,1
0,0,0,0,0,0,3510
26,6,0,7,25,12,1451
1,9,2,8,14,8,1387
6,0,0,0,0,0,0
68,134,35,77,176,199,2726
1,1,0,4,14,9,4
25,50,26,117,151,409,8
0,0,0,1,3,0,3035
7,7,0,14,27,11,1405
3,0,0,4,1,6,0
0,0,0,0,0,0,2222
1,2,0,0,1,1,1188
1,20,3,5,8,3,0
11,12,21,25,54,50,5
0,0,0,0,0,0,2096
6,1,0,0,0,0,0
8,24,3,15,38,45,8392
29,1,0,0,0,0,0
2,3,0,0,4,3,204
4,10,12,16,29,63,0
0,1,0,3,0,12,0
1,0,0,0,4,0,653
5,7,0,2,8,0,502
7,12,3,43,26,44,160
0,0,0,0,0,0,1870
4,2,0,7,8,17,0
9,0,3,2,5,7,34
0,2,0,5,16,1,1
0,0,0,0,0,0,224
32,15,6,23,22,61,81
19,58,21,30,100,40,3373
8,40,0,8,1,0,0
0,0,0,0,0,0,1255
4,3,9,19,27,149,0
0,0,0,0,0,0,2433
14,35,8,20,39,33,1756
0,2,5,12,2,5,0
2,2,3,1,0,0,597
1,6,21,8,2,28,0
0,0,1,0,0,0,0
0,0,0,2,8,2,306
6,9,10,25,59,89,373
0,0,0,0,0,0,5496
0,0,0,0,0,0,302
0,0,0,0,0,0,3747
2,3,3,4,4,8,0
7,1,1,9,4,3,1975
18,24,15,10,25,27,4
4,1,2,14,67,46,32
0,0,0,0,0,0,1265
0,0,0,0,0,0,1225
0,0,0,2,10,1,2115
10,8,0,15,2,6,0
0,0,0,0,0,0,149
1,2,0,9,11,62,0
20,1,0,4,0,0,0
4,5,0,32,24,7,4499
2,9,7,10,8,30,0
0,0,0,4,0,11,0
8,30,0,6,1,0,0
6,10,0,11,0,3,0
0,0,0,0,8,1,2522
0,0,0,0,0,0,1917
0,0,0,0,0,0,686
12,34,13,12,29,42,1910
0,0,0,0,0,2,0
16,8,0,0,0,0,0
30,37,8,20,14,48,15
15,22,13,53,103,164,0
1,9,0,13,20,8,3265
0,9,0,2,0,0,0
0,0,0,0,0,0,775
0,0,0,0,0,0,23
0,0,0,0,0,0,2555
23,11,0,15,17,13,843
27,15,20,67,95,98,28
9,13,1,12,17,7,3821
1,7,1,0,0,0,0
0,0,11,2,0,4,0
0,0,0,0,0,0,602
4,0,0,0,0,4,1357
3,1,0,6,1,2,19
42,68,1,31,20,18,13790
0,0,0,0,0,0,833
5,59,0,3,1,0,0
9,2,0,0,0,0,0
20,29,22,22,23,56,6
0,0,0,0,0,0,1466
13,1,1,3,1,9,14
10,12,1,0,1,0,0
1,0,5,5,8,16,0
24,68,0,3,0,0,0
1,6,18,12,16,82,42
4,29,2,3,6,2,1948
0,0,0,0,0,0,3084
0,0,0,4,42,14,0
34,21,1,5,2,28,0
0,0,0,1,0,10,213
13,32,3,2,0,4,0
1,1,0,9,11,29,0
0,13,0,0,0,0,0
0,0,0,0,0,0,1501
9,30,7,50,35,225,1
6,4,0,0,4,2,426
0,0,0,0,0,0,3786
0,2,0,1,0,0,432
4,4,0,3,19,2,565
0,0,0,0,0,0,2902
5,1,0,0,0,0,0
0,0,0,0,16,2,1285
11,18,6,38,20,86,0
0,0,0,0,0,0,1253
7,20,4,7,1,7,0
11,44,0,2,0,0,38
0,2,1,0,0,4,31
0,1,0,5,0,0,0
3,28,0,0,0,0,0
20,14,0,10,3,8,0
8,40,0,9,1,1,0
0,0,0,0,0,0,99
4,16,4,20,11,50,16
0,0,1,9,4,3,0
0,0,0,0,0,0,2085
11,12,13,39,40,101,85
0,19,0,2,0,0,0
5,5,1,11,15,47,7360
0,0,0,9,1,2,0
28,49,25,161,217,648,0
0,0,0,0,0,0,1044
5,1,6,19,46,32,3889
0,0,0,0,0,0,2207
0,0,0,0,0,0,735
2,7,1,12,26,23,295
2,2,1,9,29,14,0
28,60,6,14,31,12,892
0,0,0,2,14,0,5857
0,0,0,0,0,0,99
0,0,0,2,20,4,1722
59,90,83,149,262,572,559
0,0,0,0,0,0,6875
1,2,0,0,1,1,4
0,2,6,10,11,9,193
3,23,0,7,0,4,0
44,29,2,11,33,7,0
0,9,2,15,9,50,0
8,5,0,0,0,0,0
3,6,14,21,23,80,0
2,2,0,1,2,0,182
7,0,0,0,0,0,0
15,19,12,21,21,37,8
0,0,0,0,0,0,195
0,0,0,0,0,0,2535
0,0,0,0,0,0,4175
12,10,0,15,8,9,0
0,7,2,3,4,13,0
2,15,8,18,26,46,24
13,2,0,3,35,5,2902
2,0,0,4,8,3,1961
9,20,17,31,18,83,4
1,0,2,12,14,13,4087
3,2,8,29,42,123,42
18,25,37,76,98,344,6
10,22,0,3,0,0,0
7,22,4,18,46,34,31
0,4,0,1,0,0,0
9,20,7,55,66,196,1
3,15,18,19,9,45,0
46,36,9,37,66,55,1210
0,0,0,0,0,0,8242
1,0,4,9,8,30,0
