cDC1,cDC2,pDC,Eos,Mon,Neu,B
8,2,9,2,13,28,544
0,1,2,5,17,32,10978
29,58,11,35,72,252,8
0,0,0,0,0,0,640
4,1,11,6,75,29,1791
0,0,1,0,0,0,614
5,46,0,2,0,6,0
0,0,1,0,0,0,673
3,2,0,2,4,11,0
0,2,8,5,23,12,2095
0,82,0,0,0,2,0
0,0,0,0,9,4,2089
0,0,0,0,0,0,519
8,1,1,0,0,0,0
30,10,9,107,22,46,0
0,2,0,0,5,6,70
9,53,16,1,1,20,12
1,3,4,0,7,2,4711
0,0,0,0,1,3,1414
2,2,5,0,0,0,989
0,0,0,1,18,5,364
0,0,0,0,0,0,1407
0,0,0,0,10,5,2055
11,1,0,25,4,25,0
0,1,0,0,3,4,0
2,0,15,0,1,4,0
0,0,0,0,0,0,782
0,0,0,0,0,0,2357
9,2,0,0,1,15,0
0,0,0,0,0,0,3996
0,0,0,0,10,2,4679
0,2,0,33,0,2,0
0,0,0,0,0,0,1380
0,0,0,10,2,1,0
0,0,0,0,3,0,4238
12,6,0,35,33,119,10
0,0,0,0,0,0,1620
3,6,6,41,2,33,0
0,0,0,0,0,0,756
4,54,0,2,0,2,0
0,0,0,0,0,0,1185
18,12,0,0,0,1,0
3,0,0,0,0,0,0
1,1,1,5,11,12,0
0,11,1,23,8,39,0
0,0,0,0,0,0,24
1,0,1,0,19,1,10595
0,7,1,10,3,12,0
7,13,3,1,0,15,0
0,0,0,0,0,0,2270
4,9,0,0,0,0,0
0,0,0,0,10,6,19
2,0,1,2,0,0,0
0,0,0,0,0,0,521
10,2,8,0,0,0,0
0,0,1,3,0,4,0
1,8,1,0,0,0,0
0,0,0,0,0,0,281
7,9,0,10,7,52,0
0,1,0,6,24,21,206
0,1,0,0,6,7,1177
0,0,1,0,0,0,0
3,19,0,0,0,7,0
3,16,0,0,0,3,0
0,0,0,0,6,0,4294
0,3,2,10,62,30,1
4,8,3,3,2,4,4
21,89,14,30,29,52,25
0,0,0,0,0,0,18
0,0,0,0,0,0,1187
