cDC1,cDC2,pDC,Eos,Mon,Neu,B
0,0,0,7,22,2,0
14,0,0,0,0,0,0
8,8,2,3,19,13,2
15,11,37,45,32,77,0
6,8,4,6,10,2,0
2,5,4,8,13,11,4638
0,0,0,0,0,0,12669
0,0,0,0,0,0,1304
4,1,1,0,0,0,0
0,0,0,0,0,0,569
0,0,0,0,0,0,2833
5,2,0,3,9,37,0
0,0,0,0,0,0,671
0,0,0,0,0,0,3594
2,14,0,5,4,0,0
0,0,0,4,1,6,770
40,56,26,5,8,15,0
0,0,0,0,0,0,76
0,0,0,0,0,0,4239
2,0,0,0,21,2,1944
29,50,11,0,0,0,0
5,2,6,20,7,2,0
0,2,0,7,6,17,2696
8,0,0,0,0,0,20
6,3,12,25,25,86,0
0,0,0,0,0,0,446
0,0,0,0,0,0,768
10,1,7,21,36,17,675
14,11,1,1,0,0,0
3,0,5,1,2,0,46
31,31,8,37,55,229,25
0,0,0,0,0,0,2382
5,12,2,6,9,19,0
0,0,0,0,0,0,33
6,5,3,7,77,120,0
4,1,0,36,37,32,783
13,7,12,1,0,1,0
35,87,52,40,72,81,1473
9,9,3,7,19,26,0
7,8,4,3,0,0,0
1,0,1,21,20,16,0
0,0,0,0,0,0,1955
11,13,7,6,29,52,166
3,19,2,1,3,28,0
3,1,20,9,1,7,18
10,9,6,2,0,9,0
0,0,0,0,0,0,2724
3,0,4,21,9,18,0
0,0,0,2,0,9,0
0,0,0,0,0,0,694
1,1,0,4,19,116,0
0,0,0,0,0,0,1977
0,0,0,0,0,0,707
7,6,2,0,0,0,0
0,0,0,0,0,0,1739
1,5,0,3,10,7,7
9,9,1,11,38,60,281
2,4,1,1,6,2,568
26,48,8,0,0,5,0
0,0,0,0,0,0,1026
5,1,3,11,18,26,0
0,0,0,0,0,0,1205
0,0,0,0,0,0,1128
0,0,0,0,0,0,1606
9,11,7,7,1,6,0
0,0,0,0,0,0,365
5,0,0,2,50,16,0
90,114,38,67,102,460,23
29,8,0,0,0,1,0
0,0,0,0,0,0,952
8,9,3,9,9,7,1666
11,14,6,15,17,13,5
0,0,0,0,0,0,908
0,0,0,0,0,0,299
20,34,20,35,44,42,50
1,2,0,0,0,0,0
19,22,11,44,31,137,0
18,38,2,0,0,0,0
31,6,1,0,0,0,0
5,13,4,5,16,20,1913
5,12,7,4,20,13,3
0,0,0,0,0,0,4958
6,22,7,8,47,29,773
0,0,0,0,0,0,2693
1,0,0,0,0,0,0
4,12,4,12,22,43,3049
2,1,2,0,1,2,0
1,9,0,0,0,0,0
41,19,15,41,62,232,0
0,0,0,0,0,0,2217
6,4,2,3,1,12,0
0,0,0,0,0,0,6475
9,1,2,6,35,18,96
0,0,0,1,3,0,113
7,7,5,3,2,18,0
0,0,0,0,0,0,916
11,12,1,3,2,14,2258
12,2,8,5,34,30,2
0,0,0,0,0,0,1496
0,0,0,0,0,0,244
0,0,0,0,0,0,2857
0,0,0,0,0,0,1739
20,15,7,10,62,41,746
0,0,0,0,0,0,684
0,0,0,0,0,0,373
2,1,3,0,0,1,0
0,0,0,0,0,0,538
33,55,26,33,65,39,3860
0,0,0,0,0,0,5645
5,5,4,4,11,25,443
0,0,0,0,0,0,11
1,1,2,0,0,0,0
0,0,0,0,0,0,861
2,8,0,1,7,6,2600
0,4,0,0,9,47,0
0,0,2,23,12,18,0
5,0,1,6,9,4,7
0,2,2,2,10,16,1
1,4,2,1,0,0,0
7,0,0,1,0,3,4893
0,5,3,0,0,1,0
0,1,0,0,6,0,21
0,0,0,0,1,1,0
0,0,0,5,4,11,0
2,0,0,0,0,4,0
0,0,0,0,0,0,1735
