cDC1,cDC2,pDC,Eos,Mon,Neu,B
14,28,4,17,43,148,0
15,10,15,25,37,104,12
0,0,0,1,1,0,1279
7,8,2,19,31,33,12
5,3,0,2,0,5,0
0,0,0,0,0,0,4545
0,0,0,0,0,0,3249
19,33,10,20,54,38,4185
0,0,0,0,0,0,126
0,0,0,0,0,0,761
0,0,0,0,0,0,3167
9,3,1,8,47,23,4
21,27,5,17,13,40,0
4,0,0,2,1,3,0
6,14,1,1,1,6,1
22,8,13,29,50,65,67
15,38,2,2,2,12,0
55,31,10,7,6,31,0
0,0,0,0,0,0,4902
3,12,1,0,0,1,0
19,18,14,19,16,71,0
0,0,0,1,3,4,0
20,5,6,7,3,19,0
42,43,19,35,43,175,7
10,19,2,0,24,1,1
9,12,8,5,27,15,765
0,0,0,0,0,0,436
0,0,0,0,0,0,628
0,0,0,0,0,0,1905
25,6,1,16,62,280,1181
0,0,0,0,4,0,3546
3,0,0,0,8,1,27
14,12,6,6,16,5,690
3,4,0,8,55,36,3
0,0,7,0,1,0,0
2,1,2,1,8,17,7
0,0,0,6,13,1,0
5,18,2,3,1,0,0
0,0,0,0,5,1,169
43,21,15,77,143,364,584
0,0,0,0,0,0,1005
0,0,0,0,0,0,123
7,3,4,13,76,113,11
0,5,1,1,0,2,1637
0,0,0,0,0,0,592
0,0,0,0,6,0,0
0,3,7,7,5,1,13
40,14,10,7,23,78,0
1,0,6,0,0,0,0
0,0,0,0,0,0,1992
0,1,8,18,34,40,0
2,5,1,0,0,0,0
7,17,0,14,27,22,601
31,53,3,0,1,0,0
0,0,0,0,0,0,166
0,0,0,0,0,0,3200
0,0,0,2,1,1,4
18,28,17,28,24,66,51
0,0,0,0,0,0,1162
0,3,1,0,0,1,54
6,3,5,6,4,18,286
1,6,2,4,0,2,0
4,20,6,1,0,1,4808
17,4,3,16,10,24,0
1,7,4,0,0,0,0
0,0,0,0,3,1,448
0,9,0,0,0,0,0
1,5,1,10,50,56,3
0,0,0,0,0,0,39
0,0,0,0,0,0,1882
0,0,0,1,0,0,0
1,6,2,15,28,15,8292
9,1,1,12,11,40,0
53,101,15,73,171,713,0
2,0,1,3,29,7,0
0,6,1,0,0,0,0
9,14,1,0,0,1,0
8,31,8,0,0,0,0
0,0,0,0,4,1,3198
1,8,2,1,0,5,0
22,78,47,33,82,90,161
0,0,0,0,0,0,189
16,18,10,1,0,2,0
32,18,10,62,203,291,33
2,0,1,0,0,0,0
1,2,0,6,22,21,16
1,0,0,0,0,0,0
0,0,0,0,0,6,0
0,0,0,0,0,0,169
0,0,0,0,0,0,624
9,14,8,16,26,39,0
0,0,0,0,8,3,0
16,20,17,7,2,2,0
0,0,0,0,0,0,245
9,1,8,10,10,13,0
5,3,4,12,13,4,571
0,0,0,0,0,0,6761
31,35,11,18,36,85,2237
12,7,6,5,1,3,0
27,13,11,6,0,0,0
5,0,5,28,8,21,0
0,1,1,0,1,2,5
12,7,9,4,4,29,0
1,1,0,0,0,0,0
14,35,12,4,0,0,0
5,0,0,1,0,0,0
0,0,0,4,43,15,102
0,0,0,0,0,0,4281
8,1,0,2,0,0,0
0,0,0,2,2,0,3587
4,3,3,0,7,16,0
9,31,2,8,1,34,0
5,6,4,3,3,4,1171
2,3,8,8,8,19,0
3,0,1,9,22,41,0
0,0,0,0,0,0,100
5,0,0,9,32,12,0
0,0,2,8,24,18,0
1,0,1,0,0,0,0
11,30,26,47,64,77,877
8,39,4,10,48,58,5386
13,37,6,0,1,7,0
0,0,0,0,0,0,4007
24,18,10,21,18,36,698
0,0,0,0,0,0,2118
0,0,0,0,0,0,1746
25,41,16,51,105,231,36
1,7,3,0,2,1,7
13,14,10,28,41,21,341
20,49,16,10,10,37,30
26,17,8,29,92,289,0
0,0,0,1,17,12,0
0,0,0,0,0,0,2423
74,76,38,50,179,615,16
0,5,5,1,0,0,803
9,10,8,14,16,53,0
13,7,5,3,0,0,0
0,0,1,2,0,0,4424
45,44,12,20,27,68,129
0,0,0,0,0,0,927
0,1,0,1,6,3,138
0,0,0,0,0,0,4258
7,1,0,1,3,0,0
0,0,0,0,0,0,1110
25,42,3,2,0,0,0
1,0,0,0,0,0,0
0,0,0,0,0,0,430
0,0,0,0,0,0,741
0,0,0,0,0,0,19
39,54,24,50,108,146,738
18,10,14,13,34,20,3838
3,2,5,5,6,9,63
17,7,8,12,12,11,2
9,7,5,0,0,0,0
6,4,1,8,18,27,162
0,0,0,0,0,0,803
4,6,8,0,0,2,0
7,4,11,7,6,2,0
4,1,2,0,0,0,0
0,0,0,0,0,0,4716
0,0,0,1,8,8,38
0,0,0,0,0,0,685
0,0,0,0,0,0,455
0,0,0,0,0,0,2039
0,0,0,0,0,0,1504
0,0,1,0,0,0,532
0,0,0,0,0,0,721
0,1,0,1,1,0,2295
10,25,8,2,5,11,0
17,7,1,20,21,46,0
31,32,7,37,143,437,0
0,0,0,0,0,0,213
8,9,2,6,2,1,0
0,0,0,2,9,7,11678
1,0,5,19,72,187,0
4,2,5,4,20,17,12
0,0,0,0,0,0,1583
11,23,9,13,21,18,1242
0,0,0,0,0,0,494
11,14,2,0,0,0,0
25,13,11,20,49,59,916
0,0,0,0,0,0,105
0,0,5,0,0,0,0
10,10,8,9,17,39,138
3,2,0,0,4,7,0
0,0,1,3,21,0,0
0,0,0,0,13,28,0
37,24,5,32,96,109,837
15,54,10,2,3,16,0
4,4,6,12,0,1,25
66,87,20,10,44,162,0
0,0,0,0,0,0,7368
8,0,2,7,3,6,0
1,0,1,4,9,0,0
0,0,0,0,0,0,124
9,15,5,1,0,0,0
14,17,4,29,51,87,13
0,0,0,0,0,0,5154
17,16,5,25,45,189,0
3,4,5,12,35,19,1689
3,2,0,0,0,0,0
0,0,0,0,1,0,83
6,18,4,0,0,0,6492
0,0,0,0,0,0,1930
51,37,11,115,295,800,0
5,6,0,1,3,21,279
1,0,0,1,3,5,2439
23,56,12,15,11,28,207
9,5,0,11,26,49,0
0,0,0,0,0,0,365
0,0,0,3,4,0,1407
0,0,0,0,0,0,2120
0,0,0,0,0,0,521
0,0,0,0,0,0,950
13,5,8,30,155,777,0
0,0,2,0,0,0,0
0,0,0,0,0,0,300
2,1,3,14,24,15,9736
0,0,0,0,0,0,3554
7,6,5,15,11,17,1533
8,14,2,1,0,3,2
0,0,0,0,0,0,193
1,6,0,0,0,0,2858
10,3,5,3,4,13,1076
0,0,0,3,6,5,1714
0,4,0,0,1,12,1
0,1,0,4,4,0,0
14,23,4,6,1,0,35
6,12,2,0,0,0,0
25,46,17,38,90,56,4378
0,0,6,3,5,0,0
1,6,7,3,17,3,3489
2,0,1,4,3,12,0
4,1,2,5,28,39,0
8,13,0,3,0,2,0
0,0,0,0,0,0,289
0,0,0,0,0,0,2324
0,0,0,0,0,0,4940
3,4,2,6,4,1,0
3,5,0,1,0,0,0
0,0,0,0,0,0,2753
4,2,1,7,4,11,36
24,0,0,0,0,0,0
0,0,0,0,0,0,158
0,0,0,0,0,0,7728
7,0,8,10,2,5,0
0,0,0,0,0,0,1305
0,0,0,0,0,0,61
4,0,0,0,19,31,238
0,0,0,0,0,0,3456
8,0,0,3,12,14,3
19,18,8,12,10,46,77
0,0,0,2,1,0,0
0,0,0,0,0,0,627
1,3,1,10,1,0,0
10,9,11,10,39,32,734
0,0,0,0,0,0,1770
3,0,6,7,13,2,0
0,0,0,0,0,0,1876
0,0,0,0,1,1,940
0,0,0,0,0,0,1698
0,0,0,0,0,0,86
0,0,0,0,0,0,4512
4,1,0,0,0,0,0
47,36,20,103,146,254,160
0,0,0,0,0,0,284
0,0,0,0,0,0,202
49,71,21,49,78,141,858
0,0,0,0,0,0,82
8,3,3,14,5,3,0
0,0,0,0,0,0,3296
29,33,15,14,18,31,28
0,0,0,1,1,2,0
11,17,4,20,26,14,0
4,3,6,3,9,2,0
4,21,4,1,0,4,0
0,0,0,0,0,0,2888
0,0,0,0,0,0,65
0,0,0,0,0,0,2834
0,0,0,4,6,14,0
2,0,0,1,6,0,0
0,0,0,0,0,0,4040
12,5,0,1,1,1,0
0,0,0,0,0,0,2472
2,6,1,0,12,12,9
0,0,0,0,0,0,600
23,33,21,15,39,90,2917
0,0,0,0,0,0,1007
20,5,3,10,31,61,0
0,0,0,0,0,2,0
0,0,0,0,0,0,2663
11,0,7,5,11,5,1
0,0,1,2,18,8,1880
0,0,0,0,0,0,2118
4,8,1,3,3,9,137
0,0,0,0,0,0,104
0,0,0,1,17,5,4507
0,0,0,0,0,0,589
0,0,0,0,0,0,6710
22,63,17,11,41,81,28
2,0,4,0,6,33,3
0,0,0,0,0,0,45
0,2,2,0,4,10,667
7,9,4,2,7,35,316
0,0,0,0,0,0,578
0,0,0,0,0,0,49
10,3,1,7,41,38,134
9,5,0,3,15,77,0
0,0,0,2,10,4,2651
0,1,1,0,1,0,0
11,3,0,35,216,312,0
2,3,3,4,0,3,0
12,9,0,15,21,60,88
0,0,0,0,0,0,1743
0,0,0,0,0,0,811
3,3,2,0,0,0,1237
1,0,1,11,22,20,52
20,27,6,4,0,3,0
0,0,0,0,0,0,230
0,0,0,0,0,0,460
0,0,0,0,0,0,422
0,0,0,0,0,0,2328
17,6,5,5,14,67,1
0,0,0,0,0,0,1208
5,1,1,3,5,1,28
0,0,0,0,0,0,3707
0,0,0,0,0,0,6625
11,2,0,0,0,0,0
0,0,0,0,0,0,236
0,0,0,0,0,0,494
0,0,0,0,0,0,1258
15,10,0,5,35,31,95
3,8,1,0,0,1,0
0,0,0,0,0,0,5681
2,0,0,0,0,2,0
1,0,0,1,1,19,0
9,2,3,59,190,135,16
2,12,4,11,20,68,0
0,0,0,2,11,1,717
11,23,16,30,36,24,3493
13,21,7,3,2,7,322
2,5,5,5,6,15,11
5,0,0,0,0,0,0
1,3,12,2,4,8,1303
0,0,1,1,0,0,0
6,10,0,0,0,2,0
25,39,14,25,26,88,6
3,3,2,0,0,1,0
0,0,4,0,0,0,381
0,0,0,0,0,0,1
7,16,12,13,26,11,4514
3,5,2,0,1,0,0
1,0,1,3,0,0,0
8,9,6,1,2,6,0
16,27,1,0,3,12,0
0,0,0,2,10,0,0
9,1,2,21,48,81,32
1,3,5,0,0,0,848
0,2,1,2,0,13,0
5,2,2,1,4,0,95
1,6,1,0,11,7,6401
0,0,0,0,0,0,1915
4,1,2,29,7,12,0
1,6,3,12,13,2,1
2,10,1,7,3,20,0
38,5,7,32,48,56,1778
0,0,2,0,0,0,0
1,0,0,2,1,0,0
0,0,0,0,0,0,1649
0,0,0,0,0,0,949
0,2,2,6,4,12,0
0,0,3,0,14,11,6000
22,5,5,21,16,45,0
0,0,0,0,0,0,2635
2,2,5,0,1,0,362
0,0,0,0,0,0,6088
1,0,0,0,0,0,0
2,6,0,0,0,1,0
0,0,0,0,0,0,591
0,0,0,0,0,2,0
0,0,0,0,0,0,228
8,0,5,24,34,47,0
9,1,4,12,7,0,0
9,2,5,6,13,128,0
9,7,9,1,0,0,52
0,0,0,0,0,0,234
0,2,1,1,2,8,1302
0,0,0,0,0,0,208
0,0,0,0,0,0,354
6,19,6,1,0,0,0
0,0,0,0,0,0,2650
16,25,15,31,30,58,154
4,5,1,1,2,0,0
5,17,3,0,2,1,619
0,2,1,0,1,0,2118
0,0,0,0,0,0,3867
14,28,8,18,47,26,45
0,0,0,0,0,0,1514
11,7,8,32,44,124,34
0,0,0,0,0,0,2683
7,2,11,21,34,51,3
10,9,2,0,0,0,0
0,0,0,0,0,0,7137
3,2,10,13,2,4,0
3,10,3,5,9,9,950
30,10,9,51,97,473,1
0,0,0,0,0,0,638
24,18,11,30,35,166,13
0,0,0,0,0,0,171
13,18,19,24,30,41,1965
36,24,1,14,15,37,1
0,0,0,0,0,0,1144
0,0,0,0,0,0,80
14,19,7,5,26,15,0
0,0,0,0,0,0,256
29,11,10,37,67,121,0
0,0,0,0,0,0,1932
8,0,1,1,0,0,0
0,0,0,0,0,0,1454
2,4,12,12,33,27,0
19,30,5,0,1,5,0
11,14,2,1,2,20,0
0,0,0,0,0,0,325
8,3,8,3,0,0,0
15,12,7,29,11,66,0
24,6,10,10,22,49,0
0,0,0,0,0,0,1092
6,2,3,12,36,35,493
1,1,0,7,11,16,4
0,0,0,0,0,0,1312
3,6,2,8,12,7,2819
3,8,5,1,7,10,0
20,23,11,30,45,88,239
17,14,9,3,14,17,0
14,8,5,7,12,2,9
0,3,1,1,16,0,0
9,0,0,0,5,20,32
0,0,0,5,13,14,0
0,0,0,0,0,0,609
0,0,0,0,0,0,1957
24,25,8,4,0,3,0
6,6,0,0,0,0,0
5,13,0,0,4,10,251
12,5,3,18,36,43,29
42,41,20,43,20,83,5
1,1,0,0,9,16,2074
0,0,0,0,0,0,3237
8,3,2,10,31,153,0
0,0,0,0,0,0,1616
4,8,8,23,36,52,38
0,1,0,0,0,0,575
