cDC1,cDC2,pDC,Eos,Mon,Neu,B
0,2,1,7,0,2,114
0,0,0,0,0,0,3879
0,0,0,0,0,0,1879
10,19,8,35,27,49,125
52,181,20,20,23,60,1177
0,0,0,0,0,0,1128
0,0,1,26,6,20,0
23,42,4,8,9,22,68
0,0,1,8,2,2,5814
11,13,23,33,38,103,48
0,0,1,5,4,3,0
15,10,19,20,30,37,27
3,0,4,3,15,11,914
0,0,0,0,0,0,859
12,14,12,19,19,55,197
0,0,1,13,3,3,0
8,28,4,6,20,5,0
0,0,4,1,0,0,0
1,1,16,29,63,188,1
0,1,0,3,21,0,0
26,15,29,76,111,156,421
0,0,0,0,0,0,785
0,0,0,0,0,0,235
17,8,0,14,11,24,4
2,3,0,0,0,0,0
0,0,0,24,14,16,70
1,0,6,34,21,58,14
4,1,0,0,10,6,21
0,0,0,0,0,0,6
7,3,1,8,7,9,0
13,34,1,10,21,40,2604
1,1,0,51,48,66,125
13,13,3,24,15,74,1
0,0,1,2,2,16,0
0,0,0,0,0,0,89
0,0,0,0,0,0,367
0,0,0,0,0,0,1178
0,1,3,29,56,208,4
1,4,2,0,0,0,0
4,5,0,0,0,0,108
19,38,0,7,8,23,2
1,0,10,7,0,2,0
0,0,0,0,0,0,936
6,5,16,19,6,8,0
0,0,0,0,0,0,472
13,4,0,0,1,2,0
6,4,3,0,0,2,3157
0,0,0,10,33,33,0
0,0,0,0,0,0,167
6,9,5,74,122,337,1
3,6,1,4,3,0,1
4,0,0,2,0,0,0
2,2,0,0,0,0,0
0,0,0,0,0,0,679
4,10,0,0,1,0,0
0,0,0,0,0,0,216
11,23,4,7,17,32,7
13,6,1,0,4,0,2155
1,2,12,79,108,193,0
0,0,0,0,0,0,835
0,0,0,0,0,0,1505
24,31,0,0,2,1,0
0,0,0,0,0,0,141
2,0,9,8,4,12,0
1,1,3,0,0,0,0
0,0,0,0,0,0,1233
0,0,0,0,0,0,458
3,0,3,0,0,0,0
2,0,0,0,0,0,3188
0,0,0,0,0,0,5467
15,16,12,14,23,54,1031
0,0,0,0,0,0,1350
2,2,2,8,21,20,3827
0,1,0,0,3,0,2888
0,0,0,0,0,0,100
