cDC1_start,cDC2_start,pDC_start,Eos_start,Mon_start,Neu_start,B_start,cDC1_end,cDC2_end,pDC_end,Eos_end,Mon_end,Neu_end,B_end,w,t0,t1
0.0625,0.1875,0.125,0.0,0.0625,0.5625,0.0,0.0625,0.1875,0.125,0.0,0.0625,0.5625,0.0,16.0,0,1
0.0625,0.1875,0.125,0.0,0.0625,0.5625,0.0,0.0625,0.1875,0.125,0.0,0.0625,0.5625,0.0,16.0,1,2
0.0625,0.1875,0.125,0.0,0.0625,0.5625,0.0,0.0625,0.1875,0.125,0.0,0.0625,0.5625,0.0,16.0,2,3
0.0625,0.1875,0.125,0.0,0.0625,0.5625,0.0,0.0625,0.1875,0.125,0.0,0.0625,0.5625,0.0,16.0,3,4
0.0625,0.1875,0.125,0.0,0.0625,0.5625,0.0,0.0625,0.1875,0.125,0.0,0.0625,0.5625,0.0,16.0,4,5
0.0625,0.1875,0.125,0.0,0.0625,0.5625,0.0,0.0625,0.1875,0.125,0.0,0.0625,0.5625,0.0,16.0,5,6
0.0625,0.1875,0.125,0.0,0.0625,0.5625,0.0,0.0625,0.1875,0.125,0.0,0.0625,0.5625,0.0,16.0,6,7
0.0625,0.1875,0.125,0.0,0.0625,0.5625,0.0,0.0625,0.1875,0.125,0.0,0.0625,0.5625,0.0,16.0,7,8
0.0625,0.1875,0.125,0.0,0.0625,0.5625,0.0,0.0625,0.1875,0.125,0.0,0.0625,0.5625,0.0,16.0,8,9
0.0625,0.1875,0.125,0.0,0.0625,0.5625,0.0,0.0625,0.1875,0.125,0.0,0.0625,0.5625,0.0,16.0,9,10
0.0625,0.1875,0.125,0.0,0.0625,0.5625,0.0,0.0625,0.1875,0.125,0.0,0.0625,0.5625,0.0,16.0,10,11
0.0625,0.1875,0.125,0.0,0.0625,0.5625,0.0,0.0625,0.1875,0.125,0.0,0.0625,0.5625,0.0,16.0,11,12
0.0625,0.1875,0.125,0.0,0.0625,0.5625,0.0,0.0625,0.1875,0.125,0.0,0.0625,0.5625,0.0,16.0,12,13
0.0625,0.1875,0.125,0.0,0.0625,0.5625,0.0,0.0625,0.1875,0.125,0.0,0.0625,0.5625,0.0,16.0,13,14
0.0625,0.1875,0.125,0.0,0.0625,0.5625,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,16.0,14,15
0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,4.0,15,16
0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,4.0,16,17
0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,4.0,17,18
0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,4.0,18,19
0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,4.0,19,20
0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20,21
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,21,22
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,22,23
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,23,24
0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,4.0,20,21
0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,3.0,21,22
0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,22,23
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,23,24
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,23,24
0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,22,23
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,23,24
0.0625,0.1875,0.125,0.0,0.0625,0.5625,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,0.08333333333333333,0.75,0.0,16.0,14,15
0.08333333333333333,0.08333333333333333,0.0,0.0,0.08333333333333333,0.75,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,0.08333333333333333,0.75,0.0,12.0,15,16
0.08333333333333333,0.08333333333333333,0.0,0.0,0.08333333333333333,0.75,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,0.08333333333333333,0.75,0.0,12.0,16,17
0.08333333333333333,0.08333333333333333,0.0,0.0,0.08333333333333333,0.75,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,0.08333333333333333,0.75,0.0,12.0,17,18
0.08333333333333333,0.08333333333333333,0.0,0.0,0.08333333333333333,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,18,19
