cDC1,cDC2,pDC,Eos,Mon,Neu,B
0,0,0,0,0,0,44
0,0,0,0,0,0,40
0,0,0,0,0,0,62
0,0,0,0,0,0,20
5,0,0,5,0,0,0
0,0,0,0,0,0,17
0,0,0,0,0,0,63
0,0,0,0,0,5,0
0,1,0,0,1,30,0
0,2,0,0,0,0,0
0,0,0,0,0,0,10
0,0,1,3,0,0,0
0,1,0,0,0,8,0
0,0,0,0,0,0,10
0,0,0,0,0,0,67
0,0,0,0,0,0,41
0,0,0,0,0,0,156
0,0,0,0,3,61,0
0,0,0,0,0,0,375
2,0,0,0,0,0,0
0,0,0,0,0,0,372
0,0,1,0,0,0,0
0,0,0,0,0,0,168
0,0,0,0,0,0,63
0,0,0,0,0,0,8
1,0,0,0,0,0,0
0,0,0,0,0,3,0
0,0,0,0,0,0,6
0,0,0,0,0,0,214
2,0,0,6,0,0,0
0,0,0,0,0,0,648
0,0,0,0,0,0,44
0,0,0,0,0,0,282
0,0,0,0,0,0,25
0,0,0,0,0,0,125
0,0,0,0,0,0,55
0,0,0,0,0,7,0
0,0,0,0,0,0,34
0,0,0,0,0,0,222
0,1,0,0,0,0,0
0,0,0,0,3,3,0
0,0,0,0,0,0,92
0,0,0,0,0,0,28
0,0,0,0,0,0,284
0,0,0,0,0,0,243
0,1,0,0,1,38,0
0,0,0,0,0,0,196
0,0,0,0,0,0,63
0,0,0,0,0,0,95
0,0,0,0,0,0,38
0,0,0,0,0,4,0
3,0,0,0,0,0,0
0,0,0,0,0,0,33
0,0,0,0,0,0,45
1,0,0,0,0,0,0
0,0,0,0,0,0,282
0,0,0,0,0,0,72
3,0,0,0,0,0,0
0,2,0,0,0,0,0
0,0,0,4,0,0,0
0,0,0,0,0,0,276
0,0,0,0,0,0,146
0,0,0,0,0,0,337
0,0,0,0,0,0,149
0,0,0,3,0,0,0
0,0,0,0,0,0,88
0,0,0,0,0,0,97
0,0,0,0,0,0,3
0,0,0,0,0,0,42
0,0,0,0,0,0,98
0,0,0,0,0,0,96
0,0,0,0,0,0,5
0,0,0,0,0,0,3
0,0,0,0,0,0,110
0,0,0,0,0,0,61
0,0,0,0,0,0,63
0,0,0,0,0,0,372
0,0,0,1,0,0,115
0,3,0,0,0,0,0
0,0,0,0,0,0,501
0,2,0,0,0,12,0
0,0,0,0,0,0,287
0,0,0,0,0,0,45
0,0,0,0,0,0,223
0,0,0,0,0,0,25
0,0,0,0,0,0,138
0,0,0,0,0,0,71
0,0,0,0,2,19,0
0,0,0,0,0,0,419
0,0,0,0,1,6,0
0,0,0,0,0,0,58
0,0,0,0,0,0,379
0,0,0,0,0,0,28
0,0,0,0,0,0,54
0,0,0,0,0,0,164
0,0,0,0,2,46,0
0,0,0,2,0,0,0
0,0,0,0,0,0,105
0,0,0,0,0,0,62
0,0,0,0,0,0,124
0,0,0,0,0,0,83
0,0,0,0,0,0,133
0,0,0,0,0,0,72
0,0,0,0,0,0,45
0,0,0,5,0,0,0
0,0,0,0,0,0,8
0,0,0,0,0,0,64
0,0,0,0,0,0,218
0,0,0,0,0,0,256
0,0,0,0,0,0,272
0,0,0,0,0,0,40
0,0,0,0,0,3,0
0,0,0,0,0,0,206
0,0,0,0,0,0,477
0,0,0,0,0,0,193
5,1,0,0,8,24,0
0,0,0,0,0,0,242
0,1,0,0,0,0,0
0,0,0,0,0,0,83
0,0,0,0,0,0,58
0,0,0,0,0,0,229
0,0,0,0,0,0,211
0,1,1,0,0,0,0
0,0,0,0,0,0,121
0,0,0,1,2,26,0
0,1,0,0,0,1,0
0,0,0,0,0,0,60
0,0,0,0,0,0,2
2,0,0,0,0,4,0
0,0,0,0,0,0,74
0,0,0,0,0,0,10
1,0,0,0,0,0,0
0,0,0,0,0,0,54
0,0,0,0,0,0,21
0,0,0,0,0,0,159
0,0,0,0,0,0,142
0,1,0,0,2,9,0
0,0,0,0,0,0,63
0,0,0,0,0,0,24
0,0,0,0,0,0,398
0,0,0,0,0,0,142
0,0,0,0,2,0,0
