cDC1,cDC2,pDC,Eos,Mon,Neu,B
2,0,0,4,50,18,0
3,0,1,1,0,0,0
0,0,0,0,0,0,630
0,0,0,0,0,0,286
0,0,1,3,45,3,0
6,7,3,0,0,0,0
1,8,0,2,4,0,537
0,0,0,0,0,0,479
0,2,1,1,0,0,0
0,0,0,0,5,3,0
0,0,0,0,0,0,39
0,0,0,0,0,0,191
0,0,0,0,0,0,321
1,3,0,7,28,131,0
3,5,5,1,5,1,878
0,0,0,0,0,0,112
11,1,0,1,3,0,0
0,0,0,0,4,0,0
2,5,3,9,2,1,0
0,0,0,0,0,0,349
0,0,0,0,0,0,139
2,8,0,2,6,39,0
0,0,1,0,0,0,0
2,0,1,1,0,0,1048
2,1,1,1,0,0,1819
11,16,4,5,22,30,91
8,3,11,0,0,0,0
0,0,0,0,0,0,19
8,4,3,16,29,44,0
0,0,0,0,1,0,145
0,0,1,0,0,0,0
0,0,0,0,0,0,49
0,0,0,0,0,0,103
11,5,13,4,0,14,0
0,5,1,4,1,26,0
0,0,0,0,0,0,191
0,0,0,0,0,0,463
0,0,0,0,0,0,2102
2,5,1,1,0,0,0
3,0,0,9,68,253,1
0,0,0,0,0,0,765
0,0,0,0,1,0,614
0,0,0,0,0,0,1425
0,0,0,0,0,0,2235
0,0,0,0,0,0,285
0,0,0,0,0,0,1597
0,0,0,0,0,0,228
0,0,0,0,0,0,801
1,3,0,1,3,7,0
2,10,3,0,2,0,0
8,1,6,0,0,0,0
0,0,0,0,0,0,149
0,0,0,0,0,0,796
0,0,0,0,0,0,18
0,0,0,0,0,0,6
34,39,8,2,12,2,2
0,0,0,0,0,0,13
2,1,1,1,10,20,17
4,0,0,0,0,0,0
4,0,0,0,0,0,0
0,0,0,0,0,0,318
0,0,0,0,0,0,1422
0,0,1,9,56,13,0
0,0,0,0,0,0,113
2,1,5,0,0,0,0
0,0,0,0,0,0,500
6,5,3,12,25,72,0
3,1,7,7,1,0,0
0,0,0,3,0,5,0
0,0,0,0,0,0,2238
0,0,0,0,0,0,581
0,0,0,0,0,0,18
5,0,0,5,5,35,0
0,0,0,0,0,0,34
3,5,0,3,2,14,0
4,0,0,1,2,3,0
1,0,3,3,12,25,0
0,0,0,0,0,0,2402
1,0,1,1,18,10,761
0,0,0,0,0,0,1239
0,0,0,0,0,0,521
0,0,0,0,0,0,46
0,0,0,0,0,0,2457
1,1,2,1,5,1,8
1,0,0,0,0,0,0
0,0,0,0,0,0,875
13,10,3,14,63,177,0
0,0,0,0,0,0,231
4,0,9,3,2,3,0
1,0,0,1,28,8,96
0,0,0,0,0,0,86
0,0,0,0,0,0,597
4,36,3,1,1,17,0
0,0,0,0,0,5,0
0,0,0,0,0,0,92
4,2,1,15,81,21,0
1,1,3,0,0,0,0
0,0,0,0,0,0,160
0,0,0,0,0,0,168
0,0,0,0,0,0,625
0,0,0,0,0,0,339
19,13,10,18,19,121,101
0,0,0,0,0,0,2879
0,0,4,0,0,0,0
4,6,10,9,41,0,279
20,17,5,14,5,34,0
2,0,0,1,15,43,0
0,0,0,0,0,0,205
2,2,3,0,0,0,28
29,23,5,29,74,124,230
0,0,0,0,0,0,266
1,6,0,4,16,25,0
14,10,2,5,41,96,0
11,14,12,10,12,40,406
1,0,0,4,3,1,807
2,0,3,7,4,7,10
21,4,0,1,0,0,0
2,0,1,16,15,11,1
0,0,0,0,0,0,201
0,2,0,0,9,51,0
2,0,0,0,0,0,0
1,0,0,1,7,0,1145
0,0,3,1,2,0,446
0,0,0,1,0,1,0
0,0,0,0,0,0,371
1,2,0,11,43,22,0
1,18,1,3,2,3,0
0,4,0,0,0,5,0
21,3,2,0,0,2,0
0,0,0,0,0,0,871
8,1,2,8,92,85,0
0,0,0,0,0,0,658
6,17,5,1,0,0,0
8,24,3,1,4,25,0
0,0,0,0,0,0,416
0,0,0,0,0,0,556
0,0,0,0,0,0,619
0,0,0,0,0,0,11
3,0,1,0,7,12,765
3,5,3,8,13,27,49
15,2,2,10,17,161,0
0,0,0,1,53,13,0
16,27,4,0,4,0,0
0,0,0,0,1,1,961
0,0,0,0,18,4,0
11,0,0,0,0,0,0
13,3,0,0,0,0,0
3,0,8,10,15,3,0
0,0,0,0,0,0,1167
11,0,0,4,2,0,0
0,0,0,0,7,0,6
0,0,0,0,0,0,3049
7,27,0,0,0,0,0
20,0,2,4,4,12,0
0,0,0,8,59,8,0
0,0,0,0,16,3,10
12,3,2,0,0,0,0
0,0,0,0,0,0,77
12,6,10,7,38,102,0
0,3,2,0,0,2,0
0,0,0,0,0,0,1080
0,0,1,2,2,5,437
7,1,1,0,0,0,0
0,0,0,0,0,0,13
13,9,1,9,7,76,0
0,0,0,0,0,0,154
0,0,0,0,0,0,269
0,0,1,3,18,3,4
1,2,0,2,53,112,0
14,2,4,3,2,0,88
0,0,0,0,0,0,3280
0,0,0,0,0,0,308
0,0,0,0,0,0,153
5,12,3,0,0,2,0
0,0,0,0,0,0,1632
0,0,0,5,25,9,0
0,3,0,3,2,11,0
0,1,0,1,29,3,0
2,1,0,0,0,0,0
0,0,2,2,2,0,2219
6,1,9,3,0,0,0
0,0,0,0,0,0,319
0,0,0,0,0,0,54
0,0,0,0,0,0,635
8,26,5,0,1,0,0
0,0,0,1,0,0,0
0,0,0,0,0,0,5438
10,3,1,4,0,0,0
0,0,0,0,0,0,1396
1,0,0,3,0,0,0
0,0,0,0,0,0,9
0,0,0,0,0,0,608
5,3,0,2,11,8,0
3,0,0,1,0,0,0
0,0,0,0,1,0,1251
0,0,0,2,30,2,185
6,32,6,2,0,4,334
0,0,0,0,0,0,639
1,0,1,2,0,0,0
0,1,7,0,0,0,0
3,2,5,2,0,2,0
0,0,0,0,0,0,69
10,0,4,0,0,4,0
4,0,1,2,4,43,0
0,0,0,0,0,0,1074
0,0,0,0,0,0,307
1,0,4,10,96,40,124
1,11,1,0,0,1,0
0,0,0,0,0,0,1008
7,6,1,1,0,0,97
0,0,0,0,0,0,2180
0,0,0,0,0,0,723
0,0,0,3,7,0,0
3,1,2,6,33,90,5
0,0,0,0,0,0,8
0,0,2,0,0,0,0
12,25,2,11,23,144,0
4,4,5,1,0,0,0
1,0,1,5,6,42,0
0,0,0,0,0,0,897
0,0,0,0,0,0,274
0,0,0,0,0,0,23
0,0,1,2,3,0,0
2,1,0,0,0,0,0
1,3,0,4,40,12,7
5,3,1,3,1,20,0
0,0,0,0,0,0,219
0,0,0,0,0,0,546
0,0,0,0,0,0,74
11,3,3,15,28,93,0
4,5,0,3,1,13,0
2,4,3,0,0,2,0
6,0,0,1,1,0,0
14,22,3,2,9,72,0
0,0,0,0,0,0,1458
0,0,1,3,1,0,0
0,1,0,0,0,0,0
1,0,0,0,0,0,0
0,0,1,0,0,0,0
0,0,0,0,0,0,436
0,0,0,1,5,0,0
0,0,0,0,0,0,367
0,0,0,0,0,0,100
1,2,1,7,18,99,0
0,0,0,0,0,0,2758
11,2,0,0,0,0,0
14,3,2,6,41,139,0
4,5,0,11,43,269,0
0,0,0,0,0,0,158
0,0,0,0,1,26,71
0,0,0,0,0,0,2499
43,54,3,0,0,0,0
0,0,0,0,0,0,832
18,3,3,2,12,7,11
0,0,0,0,0,2,0
0,0,0,0,0,0,743
2,0,0,10,12,9,1
0,0,0,0,0,0,719
0,0,0,1,0,6,228
8,7,0,3,1,9,0
0,0,0,0,0,0,136
3,3,3,0,0,0,0
0,0,0,1,8,5,0
5,1,0,6,3,50,0
0,0,0,0,0,0,1337
5,1,0,0,0,0,0
0,0,0,0,0,0,2003
0,0,0,1,15,1,1594
0,0,0,1,0,0,0
1,0,0,3,2,5,0
0,0,0,0,0,0,1302
8,18,3,0,5,11,1038
0,0,0,0,0,0,228
0,0,0,0,0,0,495
0,0,0,0,0,0,1047
0,0,0,0,0,0,591
17,2,2,1,11,27,0
0,1,0,0,0,0,0
2,1,1,1,20,0,4
0,1,0,0,0,0,0
19,24,13,20,65,118,72
1,4,5,4,8,14,30
0,21,0,3,6,4,0
4,0,0,0,0,5,0
0,2,0,1,22,11,2761
0,1,0,0,0,0,0
11,2,4,8,4,15,185
0,0,0,0,0,0,744
0,0,0,0,0,0,3128
0,0,0,0,0,0,151
7,30,11,4,2,21,0
1,0,4,0,1,1,628
0,3,0,0,0,0,0
0,0,0,0,0,0,133
19,5,2,2,0,0,0
0,0,0,0,0,0,1687
0,0,0,1,0,0,0
1,0,1,0,0,1,0
0,0,0,0,0,0,1911
0,0,0,0,0,0,642
7,1,0,8,9,24,9
10,19,5,14,17,71,0
2,0,3,4,19,32,0
4,0,1,3,21,1,1
1,7,0,0,0,15,0
0,3,0,1,0,0,743
0,0,0,0,0,0,256
0,5,0,0,4,0,1715
0,0,0,0,0,0,2563
0,0,0,0,0,0,18
0,0,0,0,0,0,4744
1,1,3,1,0,0,0
6,2,0,2,24,28,0
13,3,2,0,0,0,0
3,0,1,4,8,12,0
0,0,0,0,0,0,421
4,43,7,1,1,1,0
0,0,0,0,0,0,350
4,0,1,0,0,1,0
9,1,1,1,0,14,0
0,0,0,0,0,0,261
0,0,0,0,0,0,701
19,8,2,1,1,10,0
12,13,8,10,39,61,36
1,0,2,0,0,4,0
7,4,3,3,21,42,1
0,5,5,0,13,0,801
0,0,2,1,5,0,0
0,0,0,1,0,15,0
0,11,2,0,0,4,0
0,0,0,2,8,25,364
3,6,2,0,0,9,309
0,0,4,1,5,0,0
0,0,0,0,0,0,1152
0,0,0,0,0,0,168
3,0,0,0,0,0,0
0,0,0,0,0,0,17
0,2,0,1,0,0,238
0,0,0,0,0,0,198
0,0,0,0,0,0,274
1,2,9,1,3,0,1
0,0,0,0,0,0,96
0,0,0,0,0,0,474
3,1,5,2,10,26,0
0,6,0,0,0,0,1173
7,0,0,0,0,0,0
18,0,1,0,0,0,0
1,0,0,4,2,0,0
2,12,0,2,10,38,1
2,4,0,0,0,0,0
0,0,0,1,31,12,1
2,8,6,0,0,0,0
18,24,7,10,39,154,31
2,2,3,1,0,1,0
4,1,2,12,65,21,0
0,0,0,0,0,0,147
0,0,0,5,36,4,13
0,0,0,0,0,0,437
0,0,0,0,0,0,656
3,0,5,3,20,81,0
