cDC1_start,cDC2_start,pDC_start,Eos_start,Mon_start,Neu_start,B_start,cDC1_end,cDC2_end,pDC_end,Eos_end,Mon_end,Neu_end,B_end,w,t0,t1
0.08695652173913043,0.08695652173913043,0.06521739130434782,0.10869565217391304,0.41304347826086957,0.2391304347826087,0.0,0.041666666666666664,0.16666666666666666,0.125,0.125,0.16666666666666666,0.375,0.0,46.0,0,1
0.041666666666666664,0.16666666666666666,0.125,0.125,0.16666666666666666,0.375,0.0,0.041666666666666664,0.16666666666666666,0.125,0.125,0.16666666666666666,0.375,0.0,24.0,1,2
0.041666666666666664,0.16666666666666666,0.125,0.125,0.16666666666666666,0.375,0.0,0.041666666666666664,0.16666666666666666,0.125,0.125,0.16666666666666666,0.375,0.0,24.0,2,3
0.041666666666666664,0.16666666666666666,0.125,0.125,0.16666666666666666,0.375,0.0,0.041666666666666664,0.16666666666666666,0.125,0.125,0.16666666666666666,0.375,0.0,24.0,3,4
0.041666666666666664,0.16666666666666666,0.125,0.125,0.16666666666666666,0.375,0.0,0.041666666666666664,0.16666666666666666,0.125,0.125,0.16666666666666666,0.375,0.0,24.0,4,5
0.041666666666666664,0.16666666666666666,0.125,0.125,0.16666666666666666,0.375,0.0,0.041666666666666664,0.16666666666666666,0.125,0.125,0.16666666666666666,0.375,0.0,24.0,5,6
0.041666666666666664,0.16666666666666666,0.125,0.125,0.16666666666666666,0.375,0.0,0.041666666666666664,0.16666666666666666,0.125,0.125,0.16666666666666666,0.375,0.0,24.0,6,7
0.041666666666666664,0.16666666666666666,0.125,0.125,0.16666666666666666,0.375,0.0,0.041666666666666664,0.16666666666666666,0.125,0.125,0.16666666666666666,0.375,0.0,24.0,7,8
0.041666666666666664,0.16666666666666666,0.125,0.125,0.16666666666666666,0.375,0.0,0.041666666666666664,0.16666666666666666,0.125,0.125,0.16666666666666666,0.375,0.0,24.0,8,9
0.041666666666666664,0.16666666666666666,0.125,0.125,0.16666666666666666,0.375,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.1111111111111111,0.2222222222222222,0.0,24.0,9,10
0.0,0.3333333333333333,0.3333333333333333,0.0,0.1111111111111111,0.2222222222222222,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.1111111111111111,0.2222222222222222,0.0,9.0,10,11
0.0,0.3333333333333333,0.3333333333333333,0.0,0.1111111111111111,0.2222222222222222,0.0,0.0,0.42857142857142855,0.42857142857142855,0.0,0.0,0.14285714285714285,0.0,9.0,11,12
0.0,0.42857142857142855,0.42857142857142855,0.0,0.0,0.14285714285714285,0.0,0.0,0.42857142857142855,0.42857142857142855,0.0,0.0,0.14285714285714285,0.0,7.0,12,13
0.0,0.42857142857142855,0.42857142857142855,0.0,0.0,0.14285714285714285,0.0,0.0,0.42857142857142855,0.42857142857142855,0.0,0.0,0.14285714285714285,0.0,7.0,13,14
0.0,0.42857142857142855,0.42857142857142855,0.0,0.0,0.14285714285714285,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,7.0,14,15
0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,15,16
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,16,17
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,17,18
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,18,19
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,17,18
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,18,19
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,18,19
0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,15,16
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,16,17
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,17,18
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,18,19
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,18,19
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,17,18
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,18,19
0.0,0.42857142857142855,0.42857142857142855,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,14,15
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,15,16
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,16,17
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,17,18
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,18,19
0.0,0.3333333333333333,0.3333333333333333,0.0,0.1111111111111111,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,9.0,11,12
